,Unnamed: 0,Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval
122,123,123,a,a,16760,9,2011,0,,,
123,124,124,a,a,1410,4,2003,0,,,
124,125,125,a,a,760,12,2005,0,,,
125,126,126,d,a,3370,10,2014,1,18.0,2011.0,"Feb,May,Aug,Nov"
126,127,127,d,a,1350,12,2005,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
127,128,128,d,c,2000,8,2010,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
128,129,129,a,a,2460,7,2009,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
129,130,130,c,a,900,7,2009,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
130,131,131,c,a,920,7,2015,0,,,
131,132,132,d,c,1040,7,2008,1,27.0,2012.0,"Jan,Apr,Jul,Oct"
132,133,133,a,a,270,8,2013,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
133,134,134,a,a,1200,9,2008,0,,,
134,135,135,d,a,5190,8,2010,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
135,136,136,a,c,2200,12,2010,1,22.0,2012.0,"Feb,May,Aug,Nov"
136,137,137,a,a,1730,7,2015,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
137,138,138,a,c,25360,10,2014,0,,,
138,139,139,a,a,1700,1,2008,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
139,140,140,a,c,1090,7,2010,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
140,141,141,c,c,1540,7,2008,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
141,142,142,a,a,1090,7,2002,0,,,
142,143,143,d,a,2930,12,2002,0,,,
143,144,144,a,c,16570,7,2009,0,,,
144,145,145,a,a,280,6,2007,1,45.0,2009.0,"Feb,May,Aug,Nov"
145,146,146,d,c,8050,10,1961,1,48.0,2012.0,"Jan,Apr,Jul,Oct"
146,147,147,d,c,8540,7,2009,0,,,
147,148,148,a,a,2090,12,2008,0,,,
148,149,149,d,a,2610,7,2006,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
149,150,150,c,c,31830,3,2010,0,,,
150,151,151,d,c,4360,10,2005,0,,,
151,152,152,a,a,1780,7,2008,0,,,
152,153,153,a,a,16240,10,2000,1,18.0,2011.0,"Feb,May,Aug,Nov"
153,154,154,d,c,16420,7,2009,0,,,
154,155,155,d,a,3050,6,2008,1,35.0,2010.0,"Jan,Apr,Jul,Oct"
155,156,156,a,a,2020,2,2011,1,14.0,2011.0,"Mar,Jun,Sept,Dec"
156,157,157,a,c,2950,10,2004,0,,,
157,158,158,d,c,11840,6,2008,1,31.0,2009.0,"Feb,May,Aug,Nov"
158,159,159,d,a,8530,3,2013,0,,,
159,160,160,d,c,17110,11,2005,0,,,
160,161,161,a,c,2970,3,2005,0,,,
161,162,162,d,c,5340,3,2012,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
162,163,163,a,a,1480,4,2009,0,,,
163,164,164,a,a,1160,9,2005,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
164,165,165,a,a,3720,4,2005,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
165,166,166,a,c,100,4,2014,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
166,167,167,a,a,140,4,2008,0,,,
167,168,168,a,a,12540,7,2009,0,,,
168,169,169,d,a,980,7,2014,1,18.0,2014.0,"Feb,May,Aug,Nov"
169,170,170,a,a,1070,5,2015,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
170,171,171,a,a,2640,7,2008,0,,,
171,172,172,a,a,110,8,2007,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
172,173,173,a,a,350,12,2012,0,,,
173,174,174,a,a,13090,7,2009,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
174,175,175,c,a,4130,7,2009,0,,,
175,176,176,a,a,3770,7,2009,0,,,
176,177,177,a,a,1250,2,2004,1,5.0,2013.0,"Feb,May,Aug,Nov"
177,178,178,d,a,1710,7,2008,0,,,
178,179,179,a,c,480,7,2008,0,,,
179,180,180,d,a,5800,9,2010,0,,,
180,181,181,a,a,12610,3,2013,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
181,182,182,d,c,1390,7,2009,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
182,183,183,a,a,9670,7,2009,0,,,
183,184,184,d,c,3560,7,2008,0,,,
184,185,185,d,c,1860,5,2015,0,,,
185,186,186,a,a,290,10,2011,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
186,187,187,a,c,19360,7,2010,0,,,
187,188,188,d,a,850,7,2009,1,18.0,2011.0,"Feb,May,Aug,Nov"
188,189,189,d,a,5760,7,2014,0,,,
189,190,190,a,a,1470,12,2006,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
190,191,191,a,a,1100,8,2013,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
191,192,192,d,c,2770,3,2008,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
192,193,193,a,a,520,7,2008,0,,,
193,194,194,d,c,16970,8,2011,1,5.0,2013.0,"Feb,May,Aug,Nov"
194,195,195,a,c,220,7,2008,0,,,
195,196,196,c,a,3850,11,2005,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
196,197,197,c,a,4210,3,2015,0,,,
197,198,198,a,a,290,9,2002,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
198,199,199,d,c,6360,12,2010,1,14.0,2012.0,"Mar,Jun,Sept,Dec"
199,200,200,a,a,1650,10,2000,0,,,
200,201,201,d,a,20260,8,2010,1,18.0,2014.0,"Mar,Jun,Sept,Dec"
201,202,202,d,c,5140,5,2010,0,,,
202,203,203,c,c,490,11,2002,0,,,
203,204,204,a,a,5630,12,2002,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
204,205,205,a,a,110,12,2007,0,,,
205,206,206,a,c,380,8,2009,1,14.0,2012.0,"Jan,Apr,Jul,Oct"
206,207,207,a,a,6870,7,2009,0,,,
207,208,208,c,a,300,4,2006,0,,,
208,209,209,a,c,11680,9,2011,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
209,210,210,d,a,970,11,1999,1,5.0,2013.0,"Feb,May,Aug,Nov"
210,211,211,a,c,350,11,2006,0,,,
211,212,212,a,c,15050,9,2008,0,,,
212,213,213,d,c,4030,3,2014,1,1.0,2014.0,"Jan,Apr,Jul,Oct"
213,214,214,d,a,8650,7,2013,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
214,215,215,d,a,150,6,2007,1,45.0,2009.0,"Feb,May,Aug,Nov"
215,216,216,c,a,190,6,2007,1,45.0,2009.0,"Feb,May,Aug,Nov"
216,217,217,c,a,3150,7,2008,0,,,
217,218,218,a,c,640,7,2009,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
218,219,219,a,a,1640,2,2013,0,,,
219,220,220,a,a,1000,9,2008,0,,,
220,221,221,d,c,13530,9,2013,0,,,
221,222,222,a,a,2170,11,2008,0,,,
222,223,223,d,c,2920,10,1995,1,27.0,2011.0,"Jan,Apr,Jul,Oct"
223,224,224,d,c,7930,8,2010,1,1.0,2013.0,"Jan,Apr,Jul,Oct"
224,225,225,d,a,10180,5,2015,0,,,
225,226,226,a,a,450,7,2008,0,,,
226,227,227,a,a,2370,7,2008,0,,,
227,228,228,d,c,10800,7,2009,1,18.0,2011.0,"Feb,May,Aug,Nov"
228,229,229,d,c,17410,4,2007,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
229,230,230,d,c,6680,9,2013,0,,,
230,231,231,d,c,3840,10,2008,1,39.0,2010.0,"Feb,May,Aug,Nov"
231,232,232,c,c,13570,5,2010,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
232,233,233,a,a,1890,7,2008,0,,,
233,234,234,d,a,4370,7,2009,0,,,
234,235,235,a,a,5710,3,2012,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
235,236,236,a,a,1000,11,2007,0,,,
236,237,237,a,a,1420,11,2007,0,,,
237,238,238,a,a,320,6,2007,1,45.0,2009.0,"Feb,May,Aug,Nov"
238,239,239,d,c,610,7,2008,0,,,
239,240,240,a,a,1110,5,2009,0,,,
240,241,241,d,c,780,7,2008,0,,,
241,242,242,d,a,6880,9,2001,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
242,243,243,a,a,310,8,2009,1,5.0,2013.0,"Feb,May,Aug,Nov"
243,244,244,d,a,710,3,2012,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
244,245,245,a,c,1310,7,2008,0,,,
245,246,246,c,a,4660,4,2013,0,,,
246,247,247,d,c,70,11,2010,1,5.0,2013.0,"Feb,May,Aug,Nov"
247,248,248,a,c,340,9,2012,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
248,249,249,d,c,18010,9,2014,0,,,
249,250,250,d,a,3520,7,2009,1,18.0,2012.0,"Feb,May,Aug,Nov"
250,251,251,a,c,340,7,2008,0,,,
251,252,252,d,c,22330,6,2011,1,5.0,2010.0,"Feb,May,Aug,Nov"
252,253,253,a,c,250,8,2009,1,5.0,2013.0,"Feb,May,Aug,Nov"
253,254,254,d,a,330,3,2008,1,1.0,2012.0,"Mar,Jun,Sept,Dec"
254,255,255,c,c,4630,3,2011,1,35.0,2011.0,"Feb,May,Aug,Nov"
255,256,256,a,c,80,9,2005,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
256,257,257,a,a,420,12,2012,0,,,
257,258,258,a,a,27190,7,2010,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
258,259,259,b,b,210,7,2008,0,,,
259,260,260,a,a,540,10,2011,0,,,
260,261,261,d,c,15340,4,2015,1,39.0,2009.0,"Jan,Apr,Jul,Oct"
261,262,262,b,a,1180,5,2013,0,,,
262,263,263,a,c,1140,5,2013,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
263,264,264,a,a,180,3,2014,0,,,
264,265,265,a,a,4580,9,2009,1,14.0,2015.0,"Jan,Apr,Jul,Oct"
265,266,266,a,c,360,3,2014,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
266,267,267,c,a,2460,1,2012,0,,,
267,268,268,a,a,4520,2,2014,0,,,
268,269,269,a,c,60,6,2015,0,,,
269,270,270,a,a,1450,7,2014,0,,,
270,271,271,a,a,420,7,2009,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
271,272,272,a,a,16180,7,2003,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
272,273,273,a,c,8480,7,2009,0,,,
273,274,274,b,b,3640,8,2009,1,10.0,2013.0,"Jan,Apr,Jul,Oct"
274,275,275,d,a,300,5,2014,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
275,276,276,a,a,2960,10,2014,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
276,277,277,d,c,7840,6,2008,1,31.0,2009.0,"Feb,May,Aug,Nov"
277,278,278,a,c,9260,2,2010,0,,,
278,279,279,d,c,2320,7,2007,1,40.0,2012.0,"Jan,Apr,Jul,Oct"
279,280,280,d,c,18640,9,2013,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
280,281,281,d,c,6970,9,2011,0,,,
281,282,282,a,a,1220,12,2010,0,,,
282,283,283,a,a,2260,8,2008,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
283,284,284,d,a,1290,8,2008,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
284,285,285,a,a,2410,7,2008,0,,,
285,286,286,a,a,1460,4,2015,0,,,
286,287,287,c,a,2740,5,2009,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
287,288,288,d,a,800,7,2009,1,14.0,2011.0,"Mar,Jun,Sept,Dec"
288,289,289,d,a,6540,12,2007,0,,,
289,290,290,a,a,4150,5,2001,0,,,
290,291,291,d,a,5404,7,2009,0,,,
291,292,292,a,a,1100,6,2009,0,,,
292,293,293,c,c,140,11,2007,0,,,
293,294,294,a,a,3150,5,2005,0,,,
294,295,295,a,a,210,11,2000,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
295,296,296,a,a,9580,5,2007,1,45.0,2014.0,"Feb,May,Aug,Nov"
296,297,297,a,a,2300,9,2010,0,,,
297,298,298,d,a,19840,7,2009,0,,,
298,299,299,d,c,38630,9,2012,0,,,
299,300,300,a,c,120,4,2009,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
300,301,301,a,c,4510,3,2015,0,,,
301,302,302,d,c,2190,12,2007,1,9.0,2011.0,"Mar,Jun,Sept,Dec"
302,303,303,a,a,15430,11,2012,1,18.0,2011.0,"Feb,May,Aug,Nov"
303,304,304,a,a,1950,7,2015,0,,,
304,305,305,c,c,2470,2,2005,1,31.0,2013.0,"Mar,Jun,Sept,Dec"
305,306,306,a,a,5100,4,2007,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
306,307,307,a,a,18660,9,2002,0,,,
307,308,308,a,a,1070,12,2006,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
308,309,309,d,a,8740,6,2008,1,37.0,2009.0,"Feb,May,Aug,Nov"
309,310,310,a,c,2290,8,2009,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
310,311,311,a,c,680,7,2005,0,,,
311,312,312,d,a,11300,3,2012,0,,,
312,313,313,d,c,14160,7,2009,0,,,
313,314,314,a,a,3560,10,2001,1,31.0,2013.0,"Feb,May,Aug,Nov"
314,315,315,a,c,38710,4,2013,0,,,
315,316,316,d,a,9000,8,2001,0,,,
316,317,317,d,a,3140,7,2013,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
317,318,318,d,c,32330,3,2014,0,,,
318,319,319,a,c,570,9,2012,1,27.0,2012.0,"Mar,Jun,Sept,Dec"
319,320,320,a,c,210,9,2012,0,,,
320,321,321,c,c,8140,11,2013,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
321,322,322,a,a,17500,4,2001,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
322,323,323,d,c,8400,4,2012,1,5.0,2013.0,"Feb,May,Aug,Nov"
323,324,324,a,a,13140,7,2010,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
324,325,325,a,c,350,3,2011,1,22.0,2011.0,"Feb,May,Aug,Nov"
325,326,326,d,a,10070,5,2015,1,31.0,2013.0,"Feb,May,Aug,Nov"
326,327,327,c,c,1390,12,2004,0,,,
327,328,328,a,a,3130,7,2002,0,,,
328,329,329,a,a,1310,6,1990,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
329,330,330,a,c,370,7,2008,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
330,331,331,a,c,670,9,2009,1,14.0,2015.0,"Jan,Apr,Jul,Oct"
331,332,332,a,a,1840,3,2006,0,,,
332,333,333,a,c,3720,2,2010,0,,,
333,334,334,d,c,4040,8,2008,1,18.0,2013.0,"Mar,Jun,Sept,Dec"
334,335,335,b,a,90,8,2008,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
335,336,336,a,a,190,7,2014,0,,,
336,337,337,d,c,10600,7,2005,1,45.0,2014.0,"Feb,May,Aug,Nov"
337,338,338,a,c,1590,6,2007,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
338,339,339,a,c,2280,8,2009,1,10.0,2013.0,"Mar,Jun,Sept,Dec"
339,340,340,a,c,8080,7,2009,0,,,
340,341,341,a,a,190,9,2011,0,,,
341,342,342,d,c,15770,7,2009,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
342,343,343,d,a,18650,4,2004,1,14.0,2014.0,"Jan,Apr,Jul,Oct"
343,344,344,a,c,300,4,2011,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
344,345,345,a,a,120,8,2008,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
345,346,346,a,c,8090,7,2009,0,,,
346,347,347,d,c,9360,7,2013,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
347,348,348,a,a,16490,7,2010,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
348,349,349,c,c,1490,4,2009,0,,,
349,350,350,d,a,8880,7,2009,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
350,351,351,a,a,5290,11,2012,1,5.0,2013.0,"Feb,May,Aug,Nov"
351,352,352,d,c,6360,7,2008,1,40.0,2012.0,"Mar,Jun,Sept,Dec"
352,353,353,b,b,900,8,2009,1,14.0,2013.0,"Feb,May,Aug,Nov"
353,354,354,d,c,1500,10,2005,0,,,
354,355,355,a,c,9720,8,2013,0,,,
355,356,356,d,c,8970,12,2007,1,22.0,2012.0,"Feb,May,Aug,Nov"
356,357,357,a,a,2060,10,2008,0,,,
357,358,358,a,a,2890,10,2003,0,,,
358,359,359,d,c,4370,7,2009,0,,,
359,360,360,a,a,2040,6,2007,0,,,
360,361,361,c,c,4490,5,2014,1,5.0,2013.0,"Feb,May,Aug,Nov"
361,362,362,c,c,340,7,2008,0,,,
362,363,363,a,a,250,9,2009,0,,,
363,364,364,a,c,13620,8,2010,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
364,365,365,c,a,2410,6,2007,1,45.0,2009.0,"Feb,May,Aug,Nov"
365,366,366,d,c,6470,12,2004,0,,,
366,367,367,d,c,2640,9,2012,0,,,
367,368,368,d,c,1450,4,2005,1,45.0,2009.0,"Feb,May,Aug,Nov"
368,369,369,d,c,5870,4,2014,0,,,
369,370,370,d,a,8250,10,2000,1,31.0,2009.0,"Jan,Apr,Jul,Oct"
370,371,371,d,c,1970,7,2009,1,45.0,2014.0,"Feb,May,Aug,Nov"
371,372,372,d,c,4880,8,2010,1,18.0,2014.0,"Jan,Apr,Jul,Oct"
372,373,373,d,c,11120,7,2009,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
373,374,374,a,a,1150,9,2007,0,,,
374,375,375,a,c,15710,2,2013,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
375,376,376,a,a,160,8,2012,0,,,
376,377,377,a,c,100,6,2010,1,18.0,2010.0,"Feb,May,Aug,Nov"
377,378,378,a,c,2140,8,2012,0,,,
378,379,379,d,a,6630,7,2009,0,,,
379,380,380,a,a,2240,5,2013,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
380,381,381,a,a,1800,11,2006,1,5.0,2013.0,"Feb,May,Aug,Nov"
381,382,382,c,c,26130,11,2002,0,,,
382,383,383,a,c,350,7,2008,0,,,
383,384,384,a,c,130,7,2009,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
384,385,385,d,a,4580,9,2007,0,,,
385,386,386,d,c,1460,4,2014,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
386,387,387,c,a,210,7,2008,1,36.0,2013.0,"Mar,Jun,Sept,Dec"
387,388,388,a,a,2260,7,2008,0,,,
388,389,389,a,c,6690,8,2011,0,,,
389,390,390,a,c,1600,4,2009,0,,,
390,391,391,a,a,460,11,2014,1,31.0,2013.0,"Feb,May,Aug,Nov"
391,392,392,a,a,2120,7,2008,0,,,
392,393,393,d,c,4820,3,2008,0,,,
393,394,394,d,a,10850,7,2009,0,,,
394,395,395,a,a,3620,2,2013,0,,,
395,396,396,a,c,23130,6,2010,0,,,
396,397,397,a,c,130,8,2008,1,27.0,2013.0,"Feb,May,Aug,Nov"
